iris_id,insee_commune_id,commune_name,place_in_commune,has_income_data
060270109,06027,Cagnes-sur-Mer,Les Vespins,True
060270110,06027,Cagnes-sur-Mer,Bréguières Sud,True
060270111,06027,Cagnes-sur-Mer,Bréguières Nord,True
060270112,06027,Cagnes-sur-Mer,Le Nord-Est,True
060270113,06027,Cagnes-sur-Mer,Les Gros Buaux,True
060270114,06027,Cagnes-sur-Mer,Les Colettes,True
060270115,06027,Cagnes-sur-Mer,Le Nord-Ouest,True
060270116,06027,Cagnes-sur-Mer,Le Village du Cros,True
060270117,06027,Cagnes-sur-Mer,RN7,True
060290101,06029,Cannes,Moure Rouge,True
060290102,06029,Cannes,La Source,True
060290103,06029,Cannes,La Californie,True
060290104,06029,Cannes,Montfleury,True
060290105,06029,Cannes,La Peyrière,True
060290106,06029,Cannes,Terrefial,True
060290107,06029,Cannes,Camp Long,True
060290108,06029,Cannes,Carnot,True
060290109,06029,Cannes,Saint-Nicolas,True
060290110,06029,Cannes,Gare,True
060290111,06029,Cannes,Croisette-Palm-Beach,True
060290112,06029,Cannes,Petit Juas,True
060290113,06029,Cannes,Vallergues,True
060290114,06029,Cannes,Broussailles,True
060290115,06029,Cannes,Tassigny,True
060290116,06029,Cannes,Stanislas,True
060290117,06029,Cannes,Le Vieux Port-Les îles,True
060290118,06029,Cannes,Le Grand Jas,True
060290119,06029,Cannes,Le Riou,True
060290120,06029,Cannes,Croix des Gardes,True
060290121,06029,Cannes,Pierre Longue,True
060290122,06029,Cannes,Font de Veyre,True
060290123,06029,Cannes,Saint-Joseph,True
060290124,06029,Cannes,Saint-Cassien-Bastide Rouge,False
060290125,06029,Cannes,Bocca Centre,True
060290126,06029,Cannes,Les Mûriers,True
060290127,06029,Cannes,Le Plan,True
060290128,06029,Cannes,Colline des Puits,True
060290130,06029,Cannes,Ranguin,True
060290131,06029,Cannes,Le Grand Saule,True
060290132,06029,Cannes,Pont d'Avril-L'Abadie,True
060300101,06030,Cannet,Garibondy,True
060300102,06030,Cannet,Hauts de Saint-Jean-Hauts de l'Aubarède,True
060300103,06030,Cannet,Mirandoles,True
060300104,06030,Cannet,Mimosas,True
060300105,06030,Cannet,Blanchisserie,True
060300106,06030,Cannet,Four à Chaux,True
060300107,06030,Cannet,Colombier,True
060300108,06030,Cannet,Maurice Jeanpierre,True
060300109,06030,Cannet,Cougoussoles,True
060300110,06030,Cannet,Europe,True
060300111,06030,Cannet,Tignes et Sévigné,True
060300112,06030,Cannet,Moulières,True
060300113,06030,Cannet,Aubanel,True
060300114,06030,Cannet,Sainte-Catherine,True
060300115,06030,Cannet,Dolce Farniente,True
060300116,06030,Cannet,Vieux Cannet,True
