iris_id,commune_name,place_in_commune,taux_bas_revenus_pct,revenu_q1_eur,revenu_median_eur,revenu_q3_eur,revenu_d1_eur,revenu_d9_eur,part_revenus_activite_pct,part_pensions_pct,part_revenus_patrimoine_pct,part_prestations_sociales_pct,part_prestations_familiales_pct,part_minima_sociaux_pct,part_prestations_logement_pct,part_impots_pct
352381202,Rennes,Henri Fréville Sud-Ouest,37.0,12300.0,16420.0,23140.0,9690.0,29900.0,53.7,40.4,3.5,13.4,3.7,6.6,3.1,-11.0
352381203,Rennes,Canada,47.0,10620.0,14180.0,18950.0,8460.0,24860.0,56.6,25.7,2.5,23.5,5.5,12.4,5.6,-8.3
352381204,Rennes,Les Cloteaux,20.0,15150.0,21930.0,28050.0,10610.0,35640.0,68.2,33.6,6.0,6.6,1.7,3.3,1.6,-14.4
352381205,Rennes,Les Olympiades,13.0,17930.0,23080.0,29470.0,12520.0,35670.0,70.5,34.1,5.6,5.3,1.2,2.9,1.2,-15.5
352381206,Rennes,Saint-Yves,9.0,20450.0,26890.0,34310.0,15120.0,46080.0,81.5,26.5,7.6,3.0,1.1,1.3,0.6,-18.6
352381207,Rennes,Les Champs Manceaux,45.0,10670.0,14740.0,19120.0,8650.0,23990.0,61.3,21.5,2.3,23.5,4.7,13.0,5.8,-8.6
352400101,Rheu,Est et Sud,7.0,20200.0,25760.0,33000.0,15110.0,42120.0,79.0,21.8,14.3,3.1,1.7,0.9,0.5,-18.2
352400102,Rheu,Nord,14.0,17600.0,23760.0,31020.0,12430.0,40220.0,78.1,26.1,5.4,6.4,1.6,3.5,1.3,-16.0
352400103,Rheu,Ouest,10.0,18340.0,24740.0,32320.0,13760.0,40890.0,88.7,16.7,5.1,5.8,2.3,2.4,1.1,-16.3
352780101,Saint-Grégoire,Nord-Est,8.0,21160.0,29400.0,39020.0,14910.0,54810.0,83.6,19.8,14.4,3.3,1.3,1.3,0.7,-21.1
352780102,Saint-Grégoire,Sud,5.0,23990.0,31790.0,42280.0,16860.0,58100.0,69.3,33.0,17.4,2.1,0.7,0.9,0.5,-21.8
352780103,Saint-Grégoire,Nord-Ouest,4.0,25630.0,32780.0,44960.0,19060.0,62280.0,79.4,28.0,15.5,1.8,0.8,0.7,0.3,-24.7
352810101,Saint-Jacques-de-la-Lande,Le Pigeon Blanc,12.0,17770.0,23250.0,29140.0,13160.0,37310.0,85.8,19.2,4.7,5.5,1.5,2.7,1.3,-15.2
352810201,Saint-Jacques-de-la-Lande,Centre Ville,19.0,15390.0,20290.0,25900.0,11230.0,32060.0,82.8,16.4,4.3,9.7,3.2,4.4,2.1,-13.2
352810202,Saint-Jacques-de-la-Lande,Aéroport-Écarts,13.0,17380.0,22390.0,28880.0,12880.0,37120.0,70.8,29.7,7.1,6.8,2.7,2.8,1.3,-14.4
352880101,Saint-Malo,Intra-Muros,15.0,16960.0,23370.0,31470.0,12240.0,44890.0,55.3,43.3,16.2,3.7,0.6,2.2,0.9,-18.5
352880102,Saint-Malo,Le Sillon-Courtoisville,11.0,18290.0,26800.0,40680.0,13410.0,60280.0,51.1,49.0,17.6,3.2,0.7,1.8,0.7,-20.9
352880103,Saint-Malo,Rocabey,13.0,16770.0,21460.0,28150.0,12950.0,36200.0,48.3,52.4,7.3,5.6,0.9,3.3,1.4,-13.6
352880104,Saint-Malo,Le Clos-Cadot-L'Espérance,14.0,16580.0,22740.0,30470.0,12710.0,40570.0,60.7,40.4,8.6,5.3,1.5,2.7,1.1,-15.0
352880105,Saint-Malo,Paramé Sud,12.0,17470.0,23300.0,31770.0,13370.0,42460.0,55.8,44.2,11.2,4.6,1.0,2.5,1.1,-15.8
352880106,Saint-Malo,Paramé Centre-Rochebonne,9.0,20370.0,29420.0,41670.0,14420.0,62720.0,49.6,38.6,32.2,2.1,0.4,1.2,0.5,-22.5
352880107,Saint-Malo,Saint-Ideuc-La Haize,6.0,20020.0,25300.0,33490.0,15540.0,44740.0,52.3,37.3,24.9,2.6,0.9,1.2,0.5,-17.1
352880108,Saint-Malo,Rothéneuf-Le Pont,7.0,23000.0,30810.0,43590.0,16020.0,67320.0,43.5,36.0,41.6,1.1,0.3,0.6,0.2,-22.2
352880109,Saint-Malo,Paramé Est,8.0,19870.0,26320.0,35610.0,14830.0,47800.0,53.0,50.0,12.2,2.8,0.7,1.5,0.6,-18.0
352880201,Saint-Malo,La Découverte,32.0,13150.0,17190.0,21730.0,10170.0,26850.0,61.6,28.2,3.5,16.4,3.5,9.3,3.6,-9.7
352880202,Saint-Malo,Saint-Servan Nord,13.0,17670.0,23960.0,32850.0,12800.0,48670.0,67.0,36.8,11.8,4.3,0.8,2.4,1.1,-19.9
352880203,Saint-Malo,L'Hôpital,18.0,15320.0,21330.0,29500.0,12010.0,38240.0,65.2,35.2,6.2,7.5,1.5,4.2,1.8,-14.1
352880204,Saint-Malo,La Gare-Marville,22.0,14430.0,19030.0,24820.0,11680.0,31020.0,57.8,37.4,4.9,11.3,2.0,6.7,2.6,-11.4
352880206,Saint-Malo,La Madeleine-La Hulotais,12.0,16790.0,21200.0,26860.0,13390.0,33020.0,59.2,41.1,5.2,6.9,2.1,3.5,1.3,-12.4
352880207,Saint-Malo,Saint-Servan Ouest,8.0,20260.0,27310.0,38460.0,15070.0,53600.0,56.3,45.5,15.8,2.4,0.6,1.3,0.5,-20.0
352880209,Saint-Malo,La Flourie-Lorette,13.0,18430.0,26170.0,35050.0,12880.0,45870.0,44.1,51.0,17.5,3.9,1.3,1.9,0.7,-16.5
352880210,Saint-Malo,Bellevue-La Guymauvière,15.0,16650.0,21100.0,26650.0,12400.0,32310.0,53.7,45.6,5.6,7.0,1.2,4.4,1.4,-11.9
352880211,Saint-Malo,Saint-Servan Sud,10.0,18550.0,24630.0,34190.0,13820.0,47050.0,61.3,39.1,12.9,4.5,0.9,2.6,1.0,-17.8
352880301,Saint-Malo,Saint-Servan Rural,9.0,19060.0,23850.0,31050.0,14340.0,41330.0,76.9,26.4,8.8,4.4,1.9,1.8,0.7,-16.5
352880303,Saint-Malo,Paramé Rural,7.0,19820.0,26450.0,35810.0,14980.0,48220.0,75.3,28.2,11.7,2.9,1.0,1.3,0.6,-18.1
353340101,Thorigné-Fouillard,Ouest,5.0,21600.0,28240.0,35990.0,16720.0,46470.0,82.2,25.4,8.4,3.5,1.6,1.3,0.6,-19.5
353340102,Thorigné-Fouillard,Nord-Est,3.0,23020.0,29620.0,36070.0,18540.0,43610.0,72.8,34.9,8.3,2.3,1.2,0.8,0.3,-18.3
353340103,Thorigné-Fouillard,Sud-Est,8.0,20380.0,27480.0,35530.0,14790.0,45380.0,87.1,19.7,7.5,4.2,1.5,1.8,0.9,-18.5
353520101,Vern-sur-Seiche,Nord,10.0,18320.0,23490.0,30390.0,13750.0,38150.0,73.3,28.7,9.0,5.0,1.6,2.4,1.0,-16.0
353520102,Vern-sur-Seiche,Ouest,6.0,23020.0,28640.0,36540.0,16860.0,47450.0,88.1,17.5,10.9,2.9,1.4,1.0,0.5,-19.4
353520103,Vern-sur-Seiche,Sud et Est,7.0,20790.0,26060.0,32240.0,15800.0,40620.0,73.6,33.1,7.0,3.8,1.6,1.5,0.7,-17.5
353600101,Vitré,Population Éparse,5.0,20230.0,25070.0,31420.0,15830.0,39010.0,82.1,20.7,8.5,4.2,2.4,1.3,0.5,-15.5
353600102,Vitré,Le Rachapt-Bellevue,9.0,18310.0,23210.0,29840.0,14190.0,37900.0,82.0,21.2,6.8,5.2,2.5,1.8,0.9,-15.2
